UFCODE;MUNICODE;MUNINAME;VotesPT.2rnd;VotesPSL.2rnd;VotesNul.2rnd
AC;1200013;Acrelândia;1300;5165;167
AC;1200054;Assis Brasil;1660;2333;102
AC;1200104;Brasiléia;3208;8711;256
AC;1200138;Bujari;1274;4676;145
AC;1200179;Capixaba;1086;3895;86
AC;1200203;Cruzeiro do Sul;7818;31147;1127
AC;1200252;Epitaciolândia;2026;6284;166
AC;1200302;Feijó;5256;6296;285
AC;1200328;Jordão;1415;1375;62
AC;1200336;Mâncio Lima;2334;5225;184
AC;1200344;Manoel Urbano;1621;2274;146
AC;1200351;Marechal Thaumaturgo;2451;2548;147
AC;1200385;Plácido de Castro;1837;6531;226
AC;1200393;Porto Walter;1208;1897;69
AC;1200401;Rio Branco;32937;158264;5868
AC;1200427;Rodrigues Alves;1682;4762;145
AC;1200435;Santa Rosa do Purus;975;847;77
AC;1200450;Senador Guiomard;2452;10247;305
AC;1200500;Sena Madureira;3711;12051;308
AC;1200609;Tarauacá;5267;8292;368
AC;1200708;Xapuri;3400;4929;208
AC;1200807;Porto Acre;2059;7150;212
AL;2700102;Água Branca;9520;812;358
AL;2700201;Anadia;6182;1711;470
AL;2700300;Arapiraca;56755;48375;6497
AL;2700409;Atalaia;13524;6287;1135
AL;2700508;Barra de Santo Antônio;4923;2893;480
AL;2700607;Barra de São Miguel;2346;2400;267
AL;2700706;Batalha;6261;2072;378
AL;2700805;Belém;2511;684;157
AL;2700904;Belo Monte;2928;486;146
AL;2701001;Boca da Mata;7788;4521;822
AL;2701100;Branquinha;3756;1160;243
AL;2701209;Cacimbinhas;4166;1125;245
AL;2701308;Cajueiro;6380;2652;545
AL;2701357;Campestre;2594;745;209
AL;2701407;Campo Alegre;11526;4239;897
AL;2701506;Campo Grande;5022;843;180
AL;2701605;Canapi;7618;905;327
AL;2701704;Capela;5192;3222;508
AL;2701803;Carneiros;3873;547;202
AL;2701902;Chã Preta;2994;788;256
AL;2702009;Coité do Nóia;5010;964;293
AL;2702108;Colônia Leopoldina;5582;3559;643
AL;2702207;Coqueiro Seco;2016;1265;253
AL;2702306;Coruripe;11098;13819;2239
AL;2702355;Craíbas;11200;2099;584
AL;2702405;Delmiro Gouveia;22523;4009;1065
AL;2702504;Dois Riachos;4444;1072;223
AL;2702553;Estrela de Alagoas;6783;851;367
AL;2702603;Feira Grande;10412;2144;603
