regcode;regname;ufcode;ufname;microcode;microname;pop;share_adolbirths_2010;share_adolbirths_2018;womenHead;women15_49;propW25_34;child0_4;TFR;depRatio.youth;depRatio.elder;sexRatio;religPent;religCat;religNone;educNone.fem;educNone.mal;educPrim.fem;educPrim.mal;educSecd.fem;educSecd.mal;educTerc.fem;educTerc.mal;meanInc;pbf;qInfant.fem;qInfant.mal;qAdult.fem;qAdult.mal;q0_5.fem;q0_5.mal;e0.mal;e0.fem;e20.mal;e20.fem;e40.mal;e40.fem;e60.mal;e60.fem;brancos02;nulos02;pt02;psdb02;uteis02;brancos06;nulos06;pt06;psdb06;uteis06;brancos10;nulos10;pt10;uteis10;brancos14;nulos14;pt14;uteis14;brancos18;nulos18;pt18;novo18;mdb18;psl18;uteis18
1;Norte;11;RO;11001;Porto Velho;540320,0000000012;0,233887837434007;0,1846496106785317;0,368026679475399;156915,504296567000;0,322722245913912;46022,755220653235;1,93570819859871;0,396521874761307;0,0508220965891917;1,044797417194306;0,2060465734469419;0,495934823536726;0,14750168811847869;0,432772642598949;0,509805090343139;0,1460405581165330;0,1467811615005349;0,2972849443402755;0,2523327781644257;0,1216872279069192;0,08903788829058985;951,649876577720;0,14202152773689086;0,01893335282674500;0,02373092125077520;0,1176798045700016;0,234544045815951;0,02249596591999894;0,02707907620105462;68,3638222834177;75,6273176262769;51,1062769644600;57,7671090357011;33,9583152139223;38,8637767480395;18,5161774122087;21,5884692896176;3264;10790;91259;65854;191027;3494;11365;124882;80448;234124;5633;12088;117220;266631;7163;12679;125213;253424;5514;11609;66083;7439;5041;183802;313725
1;Norte;11;RO;11002;Guajará-Mirim;71369,0000000001;0,275000000000000;0,2321547698465644;0,329394202636710;18974,000000000029;0,317223569094550;7031,040964839275;2,47121939567928;0,499052385660385;0,0696934498212490;1,043374689212933;0,1634321251695998;0,581968638185189;0,09779166131318051;0,574847423424502;0,621177932665064;0,1419173344330590;0,1470875815897688;0,2077143317427046;0,1786212740930347;0,0728327561719552;0,05195700728836051;565,033804643020;0,22513444646522474;0,01950420805078140;0,02656503008793500;0,0911859112853002;0,197975090112520;0,02253122264930990;0,02981650482435846;70,8333764211264;78,3930181712557;53,5968801625874;60,6718386511582;35,9838414682017;41,5671594745029;20,1521178377808;23,8158409457126;504;2206;10314;10172;24360;506;1772;14922;12586;31312;483;1587;15269;32731;605;1428;16658;34507;490;1016;8887;301;641;20243;34482
1;Norte;11;RO;11003;Ariquemes;171149,9999999992;0,256809338521401;0,1884413309982487;0,290515689803584;47319,999999999760;0,313947590870668;14408,061603773576;2,04305757393168;0,429150918326435;0,0694430454482732;1,065930776851235;0,2213119418780150;0,451163648533098;0,17895289242490720;0,597292273559466;0,677062125753979;0,1190778523019227;0,1299568362586689;0,1976010754474602;0,1497948841153033;0,0822861898841471;0,04200015097957924;650,459041540864;0,18018197318351567;0,01359723794201740;0,01580390656777700;0,0955624061193112;0,244540822957959;0,01557594738354829;0,01853689816927500;69,4371521850517;77,5852382984833;51,8439630476881;59,1840888231622;35,3939434725865;40,0900472545267;20,2345801455188;22,3406016983778;1920;6520;24377;32034;61464;1573;4982;32931;37338;79126;1825;4652;31708;83018;1926;3558;37247;89118;1518;3296;16158;1129;1347;58646;88537
1;Norte;11;RO;11004;Ji-Paraná;295466,0000000003;0,209342560553633;0,1544267645858833;0,310675150562886;84295,000000000131;0,310813215493208;22953,695685946284;1,83784618200520;0,383503557704033;0,0832137008034556;1,003296723948166;0,2152666287289494;0,454672215775754;0,15135168083725387;0,586508261052808;0,652677555482852;0,1244896682039612;0,1334228531375035;0,2051500502855992;0,1612609643225686;0,0815273089210976;0,05162830629054954;686,831753445736;0,17075895504770600;0,02462132892890510;0,02394846039829750;0,1067557025627150;0,210971450976085;0,02837036134421217;0,02661226145459344;69,7520268196265;75,8915456760329;52,3054016741146;58,5183887204292;34,9498848946362;39,5121958355842;19,1083010243376;22,0151337558650;3356;12808;62167;63204;139862;3097;8842;58067;75860;150566;3046;8367;56962;155908;3480;6782;63958;156964;2692;6086;31046;2690;1977;101208;156242
1;Norte;11;RO;11005;Alvorada D'Oeste;70183,9999999989;0,234131113423517;0,1705115346038114;0,226286717632470;19038,999999999716;0,305845895267609;5501,938882153630;1,96844340746790;0,413242645421240;0,0779199747788737;1,083397033650015;0,2129114813844634;0,531675985652935;0,12811397351312404;0,696221199491802;0,739403952522941;0,1040672712790908;0,1164982385865331;0,1403066509818665;0,1139615098954747;0,0587819288106185;0,02983711608596076;513,787520868427;0,29785881224183569;0,02700679054978290;0,02319342065144500;0,0950170294033658;0,175678992227470;0,03009390157038334;0,02541705746944323;72,6183550070807;76,0893722740932;55,0296898853390;58,8995422192341;37,3136298409686;39,8760100298991;21,0156696620299;22,0273564324063;836;2874;11130;15923;29173;684;2174;14625;17331;34272;479;1343;11984;26132;748;1481;17095;36962;670;1418;9604;304;654;19642;35522
1;Norte;11;RO;11006;Cacoal;228212,0000000007;0,224810552904855;0,1575159914712153;0,292378600350343;65343,000000000204;0,304531472384188;17471,975112077380;1,82576431750986;0,376056850993689;0,0822639764383446;1,006981443788745;0,1891756157896868;0,488822714680427;0,13336651319207751;0,607117644077306;0,660490324860981;0,1201569922445225;0,1389701133343780;0,1801870343139209;0,1510529462181159;0,0920320457496100;0,04890081072953768;684,408017224803;0,18047184781424389;0,02055188310034050;0,02045081604304700;0,0967946924961072;0,186232118330028;0,02270783213191237;0,02411936054220981;70,9079913476798;77,1315295457070;53,2612941196804;59,2245473019200;35,4545370609974;40,1171707571645;19,1688427068945;22,4354485865456;2599;8595;48213;44693;102824;2509;6704;50858;51963;113273;2631;6182;48821;120941;3178;5337;49179;122147;2458;5175;26299;2729;1837;82619;130264
1;Norte;11;RO;11007;Vilhena;132677,0000000013;0,218876404494382;0,1558800315706393;0,328390551675135;38657,000000000364;0,312595390226867;10644,156595940203;1,85225116985870;0,386481250726247;0,0739010747654125;1,006878271300320;0,1937745207561384;0,503115561529565;0,12938001034404081;0,514537832858507;0,590490215414613;0,1348169148239654;0,1500413502008818;0,2399693194692022;0,1898884389293793;0,1095249714226271;0,06899512916001510;802,459126908887;0,12964286711205450;0,01397572788701210;0,02452899334740710;0,0944091333056928;0,205150085569616;0,01676723499495824;0,02788471919111414;69,5437840169307;78,1220902593288;52,2866926630834;59,8269267797527;34,7952317140596;40,6499550420619;18,7690312325266;22,9736599476594;1107;3758;23751;22555;52245;1125;3369;22589;29907;59983;1563;3738;23630;64581;1987;3412;24396;68793;1509;3348;12108;1399;971;53879;77551
1;Norte;11;RO;11008;Colorado do Oeste;53030,9999999997;0,224806201550388;0,1627296587926509;0,295663127586828;14644,999999999904;0,300375554796859;3975,502678527647;1,86770901686223;0,367829757148904;0,0969977822032123;1,031492651446328;0,1898253623616415;0,614376028825143;0,08330272039262920;0,643732732178226;0,692992854359493;0,1013825063478728;0,1259833999546657;0,1708641884194121;0,1286251457479969;0,0816716602179996;0,05192675294135236;574,834160068686;0,18093061970833732;0,02431478184383080;0,04462355880059820;0,0979780507849361;0,188425787173205;0,02634042857894897;0,05042968473749507;68,1978697975779;76,6995229801503;52,7718214815882;59,0074371449258;35,2029118441215;39,8271390364855;18,6816064884343;22,2186074824286;887;2461;12068;12885;28016;607;1693;10724;15373;28764;684;1586;11947;29000;624;1239;11559;29151;478;1162;5922;338;361;18272;28578
1;Norte;12;AC;12001;Cruzeiro do Sul;131505,0000000000;0,243524858588866;0,2778477029578351;0,378159994635553;32321,999999999996;0,323680465317740;16447,947230160615;3,35239013298407;0,689583261943674;0,0675811231746249;1,030800657145552;0,1281308216541550;0,688020391375276;0,04417393267008936;0,598810849841638;0,674604203154805;0,0986784605495532;0,1074578384553314;0,2174936725659071;0,1735113615087070;0,0817878279544654;0,04073439080392694;453,137751732553;0,30634602422057472;0,01871554740935000;0,02428780212443450;0,1021976862370057;0,196467707954099;0,02225144420617032;0,02783182642366273;71,2843359275036;78,3649971797451;54,1289531583260;60,5771597225947;36,8442703140010;41,5726153594482;20,8498744178992;24,1530326604416;643;4390;13745;18413;41391;392;3404;18390;22422;49399;456;2153;18063;51230;569;2164;25418;62751;867;2912;15713;128;2581;40085;71795
1;Norte;12;AC;12002;Tarauacá;74579,0000000029;0,309166666666667;0,3465217391304348;0,283714788732396;16932,000000000608;0,305516182376565;10465,117110271933;4,21260638125068;0,785265227962231;0,0705537060535398;1,101532273813313;0,1491216998808621;0,708973723515061;0,05312598062114723;0,754630289385312;0,764262111681169;0,0645970690373595;0,0913630036576110;0,1310123290244898;0,1160690949602033;0,0489915551546850;0,02830578970101652;335,320230594901;0,33402248269211704;0,04066184460101500;0,05160223066933180;0,1096880503219261;0,217125312000401;0,04690434550937871;0,05670482460352926;68,8072224655903;75,2874695986559;53,8269428939868;59,4975590656040;36,6784921123921;40,6403413534717;21,3493998379693;23,2756526819159;576;3018;12483;5239;19624;382;2537;13547;7834;24513;384;2276;12737;26383;321;1928;17130;32037;409;1597;14911;27;298;14440;34351
