Abrangência;Cargo;Sexo;Qt Candidatos;Eleito;2º Turno;Não Eleito
ABADIA DE GOIÁS;Vereador;Masculino;46;8;0;38
ABADIA DE GOIÁS;Vereador;Feminino;19;1;0;18
ABADIA DOS DOURADOS;Vereador;Masculino;31;8;0;23
ABADIA DOS DOURADOS;Vereador;Feminino;16;1;0;15
ABADIÂNIA;Vereador;Masculino;39;11;0;28
ABADIÂNIA;Vereador;Feminino;21;0;0;21
ABAETÉ;Vereador;Masculino;35;8;0;27
ABAETÉ;Vereador;Feminino;19;1;0;18
ABAETETUBA;Vereador;Masculino;175;13;0;162
ABAETETUBA;Vereador;Feminino;82;2;0;80
ABAIARA;Vereador;Masculino;14;8;0;6
ABAIARA;Vereador;Feminino;7;1;0;6
ABAÍRA;Vereador;Masculino;19;8;0;11
ABAÍRA;Vereador;Feminino;10;1;0;9
ABARÉ;Vereador;Masculino;29;7;0;22
ABARÉ;Vereador;Feminino;14;4;0;10
ABATIÁ;Vereador;Masculino;31;7;0;24
ABATIÁ;Vereador;Feminino;12;2;0;10
ABDON BATISTA;Vereador;Masculino;11;9;0;2
ABDON BATISTA;Vereador;Feminino;6;0;0;6
ABEL FIGUEIREDO;Vereador;Masculino;31;7;0;24
ABEL FIGUEIREDO;Vereador;Feminino;15;2;0;13
ABELARDO LUZ;Vereador;Masculino;30;10;0;20
ABELARDO LUZ;Vereador;Feminino;13;1;0;12
ABRE CAMPO;Vereador;Masculino;24;9;0;15
ABRE CAMPO;Vereador;Feminino;12;0;0;12
ABREU E LIMA;Vereador;Masculino;157;10;0;147
ABREU E LIMA;Vereador;Feminino;71;1;0;70
ABREULÂNDIA;Vereador;Masculino;18;7;0;11
ABREULÂNDIA;Vereador;Feminino;14;2;0;12
ACAIACA;Vereador;Masculino;30;8;0;22
ACAIACA;Vereador;Feminino;15;1;0;14
AÇAILÂNDIA;Vereador;Masculino;123;14;0;109
AÇAILÂNDIA;Vereador;Feminino;43;3;0;40
ACAJUTIBA;Vereador;Masculino;55;8;0;47
ACAJUTIBA;Vereador;Feminino;27;1;0;26
ACARÁ;Vereador;Masculino;122;10;0;112
ACARÁ;Vereador;Feminino;60;3;0;57
ACARAPE;Vereador;Masculino;62;8;0;54
ACARAPE;Vereador;Feminino;33;1;0;32
ACARI;Vereador;Masculino;19;6;0;13
ACARI;Vereador;Feminino;8;3;0;5
ACAUÃ;Vereador;Masculino;14;7;0;7
ACAUÃ;Vereador;Feminino;6;2;0;4
ACEGUÁ;Vereador;Masculino;23;7;0;16
ACEGUÁ;Vereador;Feminino;12;2;0;10
ACOPIARA;Vereador;Masculino;38;11;0;27
ACOPIARA;Vereador;Feminino;16;4;0;12
ACORIZAL;Vereador;Masculino;28;7;0;21
ACORIZAL;Vereador;Feminino;14;2;0;12
ACRELÂNDIA;Vereador;Masculino;58;8;0;50
ACRELÂNDIA;Vereador;Feminino;28;1;0;27
