ufcode;ufname;mesocode;mesoname;microcode;microname;municode;muniname;districtcode;districtname;subdistcode;subdistname
11;Rondônia;1102;Leste Rondoniense;11004;Ji-Paraná;01435;Nova União;05;Nova União;00;
11;Rondônia;1102;Leste Rondoniense;11004;Ji-Paraná;01559;Teixeirópolis;05;Teixeirópolis;00;
11;Rondônia;1102;Leste Rondoniense;11004;Ji-Paraná;01609;Theobroma;05;Theobroma;00;
11;Rondônia;1102;Leste Rondoniense;11004;Ji-Paraná;01708;Urupá;05;Urupá;00;
11;Rondônia;1102;Leste Rondoniense;11004;Ji-Paraná;01807;Vale do Paraíso;05;Vale do Paraíso;00;
11;Rondônia;1102;Leste Rondoniense;11005;Alvorada D'Oeste;00148;Nova Brasilândia D'Oeste;05;Nova Brasilândia D'Oeste;00;
11;Rondônia;1102;Leste Rondoniense;11005;Alvorada D'Oeste;00320;São Miguel do Guaporé;05;São Miguel do Guaporé;00;
11;Rondônia;1102;Leste Rondoniense;11005;Alvorada D'Oeste;00320;São Miguel do Guaporé;20;Santana do Guaporé;00;
11;Rondônia;1102;Leste Rondoniense;11005;Alvorada D'Oeste;00346;Alvorada D'Oeste;05;Alvorada D'Oeste;00;
11;Rondônia;1102;Leste Rondoniense;11005;Alvorada D'Oeste;00346;Alvorada D'Oeste;25;Tancredópolis;00;
11;Rondônia;1102;Leste Rondoniense;11005;Alvorada D'Oeste;00346;Alvorada D'Oeste;30;Terra Boa;00;
11;Rondônia;1102;Leste Rondoniense;11005;Alvorada D'Oeste;01500;Seringueiras;05;Seringueiras;00;
11;Rondônia;1102;Leste Rondoniense;11006;Cacoal;00015;Alta Floresta D'Oeste;05;Alta Floresta D'Oeste;00;
11;Rondônia;1102;Leste Rondoniense;11006;Cacoal;00015;Alta Floresta D'Oeste;15;Filadélfia d'Oeste;00;
11;Rondônia;1102;Leste Rondoniense;11006;Cacoal;00015;Alta Floresta D'Oeste;20;Izidolândia;00;
11;Rondônia;1102;Leste Rondoniense;11006;Cacoal;00015;Alta Floresta D'Oeste;25;Nova Gease d'Oeste;00;
11;Rondônia;1102;Leste Rondoniense;11006;Cacoal;00015;Alta Floresta D'Oeste;30;Rolim de Moura do Guaporé;00;
11;Rondônia;1102;Leste Rondoniense;11006;Cacoal;00015;Alta Floresta D'Oeste;35;Santo Antônio d'Oeste;00;
11;Rondônia;1102;Leste Rondoniense;11006;Cacoal;00049;Cacoal;05;Cacoal;00;
11;Rondônia;1102;Leste Rondoniense;11006;Cacoal;00049;Cacoal;10;Riozinho;00;
11;Rondônia;1102;Leste Rondoniense;11006;Cacoal;00098;Espigão D'Oeste;05;Espigão D'Oeste;00;
11;Rondônia;1102;Leste Rondoniense;11006;Cacoal;00098;Espigão D'Oeste;10;Boa Vista do Pacarana;00;
11;Rondônia;1102;Leste Rondoniense;11006;Cacoal;00098;Espigão D'Oeste;12;Novo Paraíso;00;
11;Rondônia;1102;Leste Rondoniense;11006;Cacoal;00098;Espigão D'Oeste;15;Flor da Serra;00;
11;Rondônia;1102;Leste Rondoniense;11006;Cacoal;00098;Espigão D'Oeste;18;Nova Esperança;00;
11;Rondônia;1102;Leste Rondoniense;11006;Cacoal;00288;Rolim de Moura;05;Rolim de Moura;00;
11;Rondônia;1102;Leste Rondoniense;11006;Cacoal;00296;Santa Luzia D'Oeste;05;Santa Luzia D'Oeste;00;
11;Rondônia;1102;Leste Rondoniense;11006;Cacoal;00379;Alto Alegre dos Parecis;05;Alto Alegre dos Parecis;00;
11;Rondônia;1102;Leste Rondoniense;11006;Cacoal;00502;Novo Horizonte do Oeste;05;Novo Horizonte do Oeste;00;
11;Rondônia;1102;Leste Rondoniense;11006;Cacoal;00908;Castanheiras;05;Castanheiras;00;
11;Rondônia;1102;Leste Rondoniense;11006;Cacoal;01203;Ministro Andreazza;05;Ministro Andreazza;00;
11;Rondônia;1102;Leste Rondoniense;11007;Vilhena;00189;Pimenta Bueno;05;Pimenta Bueno;00;
11;Rondônia;1102;Leste Rondoniense;11007;Vilhena;00189;Pimenta Bueno;15;Marco Rondon;00;
11;Rondônia;1102;Leste Rondoniense;11007;Vilhena;00304;Vilhena;05;Vilhena;00;
11;Rondônia;1102;Leste Rondoniense;11007;Vilhena;00924;Chupinguaia;05;Chupinguaia;00;
11;Rondônia;1102;Leste Rondoniense;11007;Vilhena;01450;Parecis;05;Parecis;00;
11;Rondônia;1102;Leste Rondoniense;11007;Vilhena;01476;Primavera de Rondônia;05;Primavera de Rondônia;00;
11;Rondônia;1102;Leste Rondoniense;11007;Vilhena;01484;São Felipe D'Oeste;05;São Felipe D'Oeste;00;
11;Rondônia;1102;Leste Rondoniense;11008;Colorado do Oeste;00031;Cabixi;05;Cabixi;00;
11;Rondônia;1102;Leste Rondoniense;11008;Colorado do Oeste;00056;Cerejeiras;05;Cerejeiras;00;
11;Rondônia;1102;Leste Rondoniense;11008;Colorado do Oeste;00064;Colorado do Oeste;05;Colorado do Oeste;00;
11;Rondônia;1102;Leste Rondoniense;11008;Colorado do Oeste;00072;Corumbiara;05;Corumbiara;00;
11;Rondônia;1102;Leste Rondoniense;11008;Colorado do Oeste;01468;Pimenteiras do Oeste;05;Pimenteiras do Oeste;00;
12;Acre;1201;Vale do Juruá;12001;Cruzeiro do Sul;00203;Cruzeiro do Sul;05;Cruzeiro do Sul;00;
12;Acre;1201;Vale do Juruá;12001;Cruzeiro do Sul;00336;Mâncio Lima;05;Mâncio Lima;00;
12;Acre;1201;Vale do Juruá;12001;Cruzeiro do Sul;00351;Marechal Thaumaturgo;05;Marechal Thaumaturgo;00;
12;Acre;1201;Vale do Juruá;12001;Cruzeiro do Sul;00393;Porto Walter;05;Porto Walter;00;
12;Acre;1201;Vale do Juruá;12001;Cruzeiro do Sul;00427;Rodrigues Alves;05;Rodrigues Alves;00;
12;Acre;1201;Vale do Juruá;12002;Tarauacá;00302;Feijó;05;Feijó;00;
12;Acre;1201;Vale do Juruá;12002;Tarauacá;00328;Jordão;05;Jordão;00;
12;Acre;1201;Vale do Juruá;12002;Tarauacá;00609;Tarauacá;05;Tarauacá;00;
12;Acre;1202;Vale do Acre;12003;Sena Madureira;00344;Manoel Urbano;05;Manoel Urbano;00;
12;Acre;1202;Vale do Acre;12003;Sena Madureira;00435;Santa Rosa do Purus;05;Santa Rosa do Purus;00;
12;Acre;1202;Vale do Acre;12003;Sena Madureira;00500;Sena Madureira;05;Sena Madureira;00;
12;Acre;1202;Vale do Acre;12004;Rio Branco;00013;Acrelândia;05;Acrelândia;00;
12;Acre;1202;Vale do Acre;12004;Rio Branco;00138;Bujari;05;Bujari;00;
12;Acre;1202;Vale do Acre;12004;Rio Branco;00179;Capixaba;05;Capixaba;00;
12;Acre;1202;Vale do Acre;12004;Rio Branco;00385;Plácido de Castro;05;Plácido de Castro;00;
12;Acre;1202;Vale do Acre;12004;Rio Branco;00385;Plácido de Castro;10;Campinas;00;
12;Acre;1202;Vale do Acre;12004;Rio Branco;00401;Rio Branco;05;Rio Branco;00;
12;Acre;1202;Vale do Acre;12004;Rio Branco;00450;Senador Guiomard;05;Senador Guiomard;00;
12;Acre;1202;Vale do Acre;12004;Rio Branco;00807;Porto Acre;05;Porto Acre;00;
12;Acre;1202;Vale do Acre;12004;Rio Branco;00807;Porto Acre;20;Vila do Caquetá;00;
12;Acre;1202;Vale do Acre;12004;Rio Branco;00807;Porto Acre;23;Vila do Incra;00;
12;Acre;1202;Vale do Acre;12004;Rio Branco;00807;Porto Acre;25;Vila do V;00;
12;Acre;1202;Vale do Acre;12005;Brasiléia;00054;Assis Brasil;05;Assis Brasil;00;
