MUNICODE;MUNINAME;IDHM
76;Brasil;0.727
5200050;Abadia de Goiás;0.708
3100104;Abadia dos Dourados;0.689
5200100;Abadiânia;0.689
3100203;Abaeté;0.698
1500107;Abaetetuba;0.628
2300101;Abaiara;0.628
2900108;Abaíra;0.603
2900207;Abaré;0.575
4100103;Abatiá;0.687
4200051;Abdon Batista;0.694
4200101;Abelardo Luz;0.696
1500131;Abel Figueiredo;0.622
3100302;Abre Campo;0.654
2600054;Abreu E Lima;0.679
1700251;Abreulândia;0.665
3100401;Acaiaca;0.63
2100055;Açailândia;0.672
2900306;Acajutiba;0.582
1500206;Acará;0.506
2300150;Acarape;0.606
2300200;Acaraú;0.601
2400109;Acari;0.679
2200053;Acauã;0.528
4300034;Aceguá;0.687
2300309;Acopiara;0.595
5100102;Acorizal;0.628
1200013;Acrelândia;0.604
5200134;Acreúna;0.686
2400208;Açu;0.661
3100500;Açucena;0.61
3500105;Adamantina;0.79
5200159;Adelândia;0.702
3500204;Adolfo;0.73
4100202;Adrianópolis;0.667
2900355;Adustina;0.546
2600104;Afogados da Ingazeira;0.657
2400307;Afonso Bezerra;0.585
3200102;Afonso Cláudio;0.667
2100105;Afonso Cunha;0.529
2600203;Afrânio;0.588
1500305;Afuá;0.489
2600302;Agrestina;0.592
2200103;Agricolândia;0.599
4200200;Agrolândia;0.725
4200309;Agronômica;0.741
1500347;Água Azul do Norte;0.564
3100609;Água Boa;0.576
5100201;Água Boa;0.729
2200202;Água Branca;0.639
2500106;Água Branca;0.572
2700102;Água Branca;0.549
5000203;Água Clara;0.67
3100708;Água Comprida;0.675
4200408;Água Doce;0.698
2100154;Água Doce do Maranhão;0.5
3200169;Água Doce do Norte;0.652
2900405;Água Fria;0.55
5200175;Água Fria de Goiás;0.671
3500303;Aguaí;0.715
5200209;Água Limpa;0.722
3100807;Aguanil;0.663
2400406;Água Nova;0.616
2600401;Água Preta;0.553
4300059;Água Santa;0.75
2600500;Águas Belas;0.526
3500402;Águas da Prata;0.781
4200507;Águas de Chapecó;0.713
3500501;Águas de Lindóia;0.745
3500550;Águas de Santa Bárbara;0.757
3500600;Águas de São Pedro;0.854
3100906;Águas Formosas;0.645
4200556;Águas Frias;0.745
5200258;Águas Lindas de Goiás;0.686
4200606;Águas Mornas;0.723
3101003;Águas Vermelhas;0.601
4300109;Agudo;0.694
3500709;Agudos;0.745
4100301;Agudos do Sul;0.66
3200136;Águia Branca;0.678
2500205;Aguiar;0.597
1700301;Aguiarnópolis;0.657
3101102;Aimorés;0.684
2900603;Aiquara;0.583
2300408;Aiuaba;0.569
3101201;Aiuruoca;0.668
4300208;Ajuricaba;0.753
3101300;Alagoa;0.649
2500304;Alagoa Grande;0.582
2500403;Alagoa Nova;0.576
2500502;Alagoinha;0.595
2600609;Alagoinha;0.599
2200251;Alagoinha do Piauí;0.531
2900702;Alagoinhas;0.683
3500758;Alambari;0.712
3101409;Albertina;0.673
2100204;Alcântara;0.573
2300507;Alcântaras;0.6
2500536;Alcantil;0.578
5000252;Alcinópolis;0.711
2900801;Alcobaça;0.608
2100303;Aldeias Altas;0.513
4300307;Alecrim;0.672
3200201;Alegre;0.721
4300406;Alegrete;0.74
2200277;Alegrete do Piauí;0.585
4300455;Alegria;0.695
3101508;Além Paraíba;0.726
1500404;Alenquer;0.564
