microcode;ufname;microname;brancos02;nulos02;uteis02;pt02;psdb02;brancos06;nulos06;uteis06;pt06;psdb06;brancos10;nulos10;pt10;uteis10;brancos14;nulos14;pt14;uteis14;brancos18;nulos18;pt18;novo18;mdb18;psl18;uteis18
11001;RO;Porto Velho;3264;10790;191027;91259;65854;3494;11365;234124;124882;80448;5633;12088;117220;266631;7163;12679;125213;253424;5514;11609;66083;7439;5041;183802;313725
11002;RO;Guajará-Mirim;504;2206;24360;10314;10172;506;1772;31312;14922;12586;483;1587;15269;32731;605;1428;16658;34507;490;1016;8887;301;641;20243;34482
11003;RO;Ariquemes;1920;6520;61464;24377;32034;1573;4982;79126;32931;37338;1825;4652;31708;83018;1926;3558;37247;89118;1518;3296;16158;1129;1347;58646;88537
11004;RO;Ji-Paraná;3356;12808;139862;62167;63204;3097;8842;150566;58067;75860;3046;8367;56962;155908;3480;6782;63958;156964;2692;6086;31046;2690;1977;101208;156242
11005;RO;Alvorada D'Oeste;836;2874;29173;11130;15923;684;2174;34272;14625;17331;479;1343;11984;26132;748;1481;17095;36962;670;1418;9604;304;654;19642;35522
11006;RO;Cacoal;2599;8595;102824;48213;44693;2509;6704;113273;50858;51963;2631;6182;48821;120941;3178;5337;49179;122147;2458;5175;26299;2729;1837;82619;130264
11007;RO;Vilhena;1107;3758;52245;23751;22555;1125;3369;59983;22589;29907;1563;3738;23630;64581;1987;3412;24396;68793;1509;3348;12108;1399;971;53879;77551
11008;RO;Colorado do Oeste;887;2461;28016;12068;12885;607;1693;28764;10724;15373;684;1586;11947;29000;624;1239;11559;29151;478;1162;5922;338;361;18272;28578
12001;AC;Cruzeiro do Sul;643;4390;41391;13745;18413;392;3404;49399;18390;22422;456;2153;18063;51230;569;2164;25418;62751;867;2912;15713;128;2581;40085;71795
12002;AC;Tarauacá;576;3018;19624;12483;5239;382;2537;24513;13547;7834;384;2276;12737;26383;321;1928;17130;32037;409;1597;14911;27;298;14440;34351
12003;AC;Sena Madureira;327;1908;15885;7565;5903;243;1463;18878;7952;8109;279;1248;6232;19984;308;1392;7341;24513;312;1289;6646;40;484;14558;26201
12004;AC;Rio Branco;2036;10064;166029;78782;55830;2668;8614;192742;80669;87693;2374;6750;37089;218656;2101;6447;49365;187274;3458;8963;30415;1727;2731;173964;254636
12005;AC;Brasiléia;386;2194;21960;11424;8418;333;1776;27074;12663;11853;302;1329;8253;28144;336;1590;12387;33179;453;1596;10485;68;364;19461;34795
13001;AM;Rio Negro;491;2375;19969;7885;8496;191;1771;25704;20333;4076;182;1591;20619;27986;254;1558;23780;33474;296;940;23027;105;337;8992;36395
13002;AM;Japurá;63;489;3553;1055;1446;40;539;4959;4156;509;19;477;5349;6283;31;397;6214;7669;42;231;5527;9;83;1384;8226
